Age
79
57
88
92
53
98
54
87
50
55
76
87
84
79
78
64
90
42
34
72
87
20
47
73
90
86
67
89
54
70
87
52
91
86
75
75
57
74
87
94
82
89
66
99
84
94
57
90
90
87
72
66
95
57
89
80
89
96
85
69
78
81
84
44
82
83
86
80
77
89
74
80
91
86
68
77
92
43
69
91
71
74
75
80
90
92
63
79
91
63
45
82
89
87
78
71
86
73
70
70
69
86
89
65
61
87
81
69
79
80
82
75
88
80
83
85
84
59
72
53
90
63
83
89
87
81
98
91
89
94
85
83
66
83
91
78
92
92
95
91
85
89
72
91
75
88
74
36
83
52
86
76
86
78
69
71
84
55
95
67
78
84
66
62
82
96
83
50
91
89
91
80
78
81
72
60
67
92
86
66
79
64
89
90
76
54
90
29
93
86
39
56
86
72
53
56
89
85
52
77
91
80
67
79
92
84
82
94
83
81
87
53
87
77
87
83
67
85
81
94
70
50
89
97
66
64
73
86
52
91
91
84
81
83
78
61
93
62
86
96
80
64
86
24
60
85
88
86
92
87
51
86
65
88
49
87
85
89
80
68
94
45
59
68
54
95
70
86
86
81
83
94
88
81
59
62
79
85
85
76
65
54
51
76
59
70
74
73
82
75
78
28
92
89
88
66
49
89
84
45
37
77
98
77
89
84
76
79
90
78
84
85
64
64
84
86
88
77
98
89
82
97
6
90
94
86
65
94
73
85
95
80
96
86
89
88
91
73
85
79
99
81
86
90
73
83
79
90
78
77
90
81
87
89
69
69
70
92
84
86
75
86
55
75
66
84
84
64
89
67
90
99
86
79
79
89
77
78
54
80
99
68
77
93
85
91
83
93
77
90
83
52
85
70
88
79
76
46
85
70
91
70
39
45
86
79
80
85
86
83
58
84
65
78
76
57
69
88
83
90
82
75
79
84
88
61
90
84
77
79
86
72
93
16
92
80
64
90
82
82
66
73
61
90
86
84
63
83
83
72
79
55
89
87
83
68
55
93
84
72
89
70
84
93
80
88
81
95
61
88
90
81
80
85
93
74
84
87
62
83
91
89
87
87
82
86
73
76
60
40
64
70
43
62
77
82
75
86
59
62
76
75
88
58
71
76
63
82
81
38
77
83
79
90
86
88
82
92
82
92
83
92
79
90
78
50
82
85
75
49
94
65
66
23
87
75
81
69
89
82
82
81
46
76
87
92
73
41
78
75
86
80
89
82
69
49
80
80
94
97
99
77
72
80
84
55
28
91
87
78
72
90
90
84
81
95
88
52
41
86
65
56
16
96
60
66
78
68
86
85
74
81
82
79
80
84
52
91
95
48
54
66
87
85
81
64
68
77
81
62
77
77
74
64
81
43
64
85
82
76
83
87
88
94
71
85
91
87
71
76
102
88
59
75
78
